Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,3.65,3.65,3.65,3.65,000,3.65
2015-07-16,3.65,3.65,3.65,3.65,000,3.65
2015-07-15,3.65,3.65,3.65,3.65,000,3.65
2015-07-14,3.65,3.65,3.65,3.65,000,3.65
2015-07-13,3.65,3.65,3.65,3.65,000,3.65
2015-07-10,3.65,3.65,3.65,3.65,000,3.65
2015-07-09,3.65,3.65,3.65,3.65,000,3.65
2015-07-08,3.65,3.65,3.65,3.65,000,3.65
2015-07-07,3.65,3.65,3.65,3.65,000,3.65
2015-07-06,3.65,3.65,3.65,3.65,000,3.65
2015-07-03,3.65,3.65,3.65,3.65,000,3.65
2015-07-02,3.65,3.65,3.65,3.65,000,3.65
2015-07-01,3.65,3.65,3.65,3.65,000,3.65
2015-06-30,3.65,3.65,3.65,3.65,000,3.65
2015-06-29,3.65,3.65,3.65,3.65,000,3.65
2015-06-26,3.65,3.65,3.65,3.65,000,3.65
2015-06-25,3.65,3.65,3.65,3.65,000,3.65
2015-06-24,3.65,3.65,3.65,3.65,000,3.65
2015-06-23,3.65,3.65,3.65,3.65,000,3.65
2015-06-22,3.65,3.65,3.65,3.65,000,3.65
2015-06-19,3.65,3.65,3.65,3.65,000,3.65
2015-06-18,3.65,3.65,3.65,3.65,000,3.65
2015-06-17,3.65,3.65,3.65,3.65,000,3.65
2015-06-16,3.65,3.65,3.65,3.65,000,3.65
2015-06-15,3.65,3.65,3.65,3.65,000,3.65
2015-06-12,3.65,3.65,3.65,3.65,000,3.65
2015-06-11,3.65,3.65,3.65,3.65,000,3.65
2015-06-10,3.65,3.65,3.65,3.65,000,3.65
2015-06-09,3.65,3.65,3.65,3.65,000,3.65
2015-06-08,3.65,3.65,3.65,3.65,000,3.65
2015-06-05,3.65,3.65,3.65,3.65,000,3.65
2015-06-04,3.65,3.65,3.65,3.65,000,3.65
2015-06-03,3.65,3.65,3.65,3.65,000,3.65
2015-06-02,3.65,3.65,3.65,3.65,000,3.65
2015-06-01,3.65,3.65,3.65,3.65,000,3.65
2015-05-29,3.65,3.65,3.65,3.65,000,3.65
2015-05-28,3.65,3.65,3.65,3.65,000,3.65
2015-05-27,3.65,3.65,3.65,3.65,000,3.65
2015-05-26,3.65,3.65,3.65,3.65,000,3.65
2015-05-25,3.65,3.65,3.65,3.65,000,3.65
2015-05-22,3.65,3.65,3.65,3.65,000,3.65
2015-05-21,3.65,3.65,3.65,3.65,000,3.65
2015-05-20,3.65,3.65,3.65,3.65,000,3.65
2015-05-19,3.65,3.65,3.65,3.65,000,3.65
2015-05-18,3.65,3.65,3.65,3.65,000,3.65
2015-05-15,3.65,3.65,3.65,3.65,000,3.65
2015-05-14,3.65,3.65,3.65,3.65,000,3.65
2015-05-13,3.65,3.65,3.65,3.65,000,3.65
2015-05-12,3.65,3.65,3.65,3.65,000,3.65
2015-05-11,3.65,3.65,3.65,3.65,000,3.65
2015-05-08,3.65,3.65,3.65,3.65,000,3.65
2015-05-07,3.65,3.65,3.65,3.65,000,3.65
2015-05-06,3.65,3.65,3.65,3.65,000,3.65
2015-05-05,3.65,3.65,3.65,3.65,000,3.65
2015-05-04,3.65,3.65,3.65,3.65,000,3.65
2015-05-01,3.65,3.65,3.65,3.65,000,3.65
2015-04-30,3.65,3.65,3.65,3.65,000,3.65
2015-04-29,3.65,3.65,3.65,3.65,000,3.65
2015-04-28,3.65,3.65,3.65,3.65,000,3.65
2015-04-27,3.65,3.65,3.65,3.65,000,3.65
2015-04-24,3.65,3.65,3.65,3.65,000,3.65
2015-04-23,3.65,3.65,3.65,3.65,000,3.65
2015-04-22,3.65,3.65,3.65,3.65,000,3.65
2015-04-21,3.65,3.65,3.65,3.65,000,3.65
2015-04-20,3.65,3.65,3.65,3.65,000,3.65
2015-04-17,3.65,3.65,3.65,3.65,000,3.65
2015-04-16,3.65,3.65,3.65,3.65,000,3.65
2015-04-15,3.65,3.65,3.65,3.65,000,3.65
2015-04-14,3.65,3.65,3.65,3.65,000,3.65
2015-04-13,3.65,3.65,3.65,3.65,000,3.65
2015-04-10,3.65,3.65,3.65,3.65,000,3.65
2015-04-09,3.65,3.65,3.65,3.65,000,3.65
2015-04-08,3.65,3.65,3.65,3.65,000,3.65
2015-04-07,3.65,3.65,3.65,3.65,000,3.65
2015-04-06,3.65,3.65,3.65,3.65,000,3.65
2015-04-03,3.65,3.65,3.65,3.65,000,3.65
2015-04-02,3.65,3.65,3.65,3.65,000,3.65
2015-04-01,3.65,3.65,3.65,3.65,000,3.65
2015-03-31,3.65,3.65,3.65,3.65,000,3.65
2015-03-30,3.65,3.65,3.65,3.65,000,3.65
2015-03-27,3.65,3.65,3.65,3.65,000,3.65
2015-03-26,3.65,3.65,3.65,3.65,000,3.65
2015-03-25,3.65,3.65,3.65,3.65,000,3.65
2015-03-24,3.65,3.65,3.65,3.65,000,3.65
2015-03-23,3.65,3.65,3.65,3.65,000,3.65
2015-03-20,3.65,3.65,3.65,3.65,000,3.65
2015-03-19,3.65,3.65,3.65,3.65,000,3.65
2015-03-18,3.65,3.65,3.65,3.65,000,3.65
2015-03-17,3.65,3.65,3.65,3.65,000,3.65
2015-03-16,3.65,3.65,3.65,3.65,000,3.65
2015-03-13,3.65,3.65,3.65,3.65,000,3.65
2015-03-12,3.65,3.65,3.65,3.65,000,3.65
2015-03-11,3.65,3.65,3.65,3.65,000,3.65
2015-03-10,3.65,3.65,3.65,3.65,000,3.65
2015-03-09,3.65,3.65,3.65,3.65,000,3.65
2015-03-06,3.65,3.65,3.65,3.65,000,3.65
2015-03-05,3.65,3.65,3.65,3.65,000,3.65
2015-03-04,3.65,3.65,3.65,3.65,000,3.65
2015-03-03,3.65,3.65,3.65,3.65,000,3.65
2015-03-02,3.65,3.65,3.65,3.65,000,3.65
2015-02-27,3.65,3.65,3.65,3.65,000,3.65
2015-02-26,3.65,3.65,3.65,3.65,000,3.65
2015-02-25,3.65,3.65,3.65,3.65,000,3.65
2015-02-24,3.65,3.65,3.65,3.65,000,3.65
2015-02-23,3.65,3.65,3.65,3.65,000,3.65
2015-02-20,3.65,3.65,3.65,3.65,000,3.65
2015-02-19,3.65,3.65,3.65,3.65,000,3.65
2015-02-18,3.65,3.65,3.65,3.65,000,3.65
2015-02-17,3.65,3.65,3.65,3.65,000,3.65
2015-02-16,3.65,3.65,3.65,3.65,000,3.65
2015-02-13,3.65,3.65,3.65,3.65,000,3.65
2015-02-12,3.65,3.65,3.65,3.65,000,3.65
2015-02-11,3.65,3.65,3.65,3.65,000,3.65
2015-02-10,3.65,3.65,3.65,3.65,000,3.65
2015-02-09,3.65,3.65,3.65,3.65,000,3.65
2015-02-06,3.65,3.65,3.65,3.65,000,3.65
2015-02-05,3.65,3.65,3.65,3.65,000,3.65
2015-02-04,3.65,3.65,3.65,3.65,000,3.65
2015-02-03,3.65,3.65,3.65,3.65,000,3.65
2015-02-02,3.65,3.65,3.65,3.65,000,3.65
2015-01-30,3.65,3.65,3.65,3.65,000,3.65
2015-01-29,3.65,3.65,3.65,3.65,000,3.65
2015-01-28,3.65,3.65,3.65,3.65,000,3.65
2015-01-27,3.65,3.65,3.65,3.65,000,3.65
